,gene_symbol,UMAP 0,UMAP 1,hdbscan_filled_cluster
0,A1BG,16.121213912963867,33.32688903808594,223
1,A1CF,-20.499162673950195,11.073771476745605,264
2,A2M,50.52017593383789,-13.308218955993652,182
3,A2ML1,50.449684143066406,-13.3267183303833,182
4,A3GALT2,74.24874114990234,-4.674803733825684,205
5,A4GALT,74.85360717773438,-4.52088737487793,205
6,A4GNT,74.03365325927734,-4.919915199279785,205
7,AAAS,52.36729049682617,23.491100311279297,70
8,AACS,65.95144653320312,3.112323045730591,358
9,AADAC,63.00675582885742,-2.4673032760620117,212
10,AADACL2,62.84818649291992,-2.5238747596740723,212
11,AADACL3,58.77525329589844,0.08996859192848206,288
12,AADACL4,58.330013275146484,-0.12617456912994385,288
13,AADAT,63.76743698120117,3.5964901447296143,358
14,AAGAB,33.89680862426758,4.5339155197143555,443
15,AAMDC,54.651390075683594,10.339141845703125,196
16,AAMP,52.03898620605469,23.044736862182617,70
17,AANAT,45.70036697387695,7.305717468261719,436
18,AAR2,35.90182876586914,3.845400810241699,438
19,AARD,21.341415405273438,13.86641788482666,343
20,AARS2,45.239601135253906,-0.22180280089378357,208
21,AARSD1,50.57550048828125,5.6269073486328125,439
22,AASDH,37.172733306884766,1.297938346862793,432
23,AASDHPPT,42.647132873535156,7.156952857971191,436
24,AASS,64.33950805664062,3.808323860168457,358
25,AATF,36.152610778808594,12.76623821258545,371
26,AATK,2.2309961318969727,3.2220921516418457,407
27,ABAT,65.80628204345703,3.6866774559020996,358
28,ABCA1,38.44255447387695,-20.86924171447754,114
29,ABCA10,38.258583068847656,-22.907270431518555,114
30,ABCA12,37.46166229248047,-21.251218795776367,114
31,ABCA2,37.478519439697266,-20.47011947631836,112
32,ABCA3,38.03275680541992,-22.62430191040039,114
33,ABCA4,37.50942611694336,-21.461652755737305,114
34,ABCA5,37.9401969909668,-22.781452178955078,114
35,ABCA6,38.74134826660156,-22.751216888427734,114
36,ABCA7,37.165992736816406,-21.187774658203125,115
37,ABCA8,38.480712890625,-22.86182403564453,114
38,ABCA9,38.70438766479492,-22.73483657836914,114
39,ABCB1,37.79375076293945,-22.532367706298828,114
40,ABCB10,34.442787170410156,-18.213476181030273,130
41,ABCB11,37.981563568115234,-22.287948608398438,114
42,ABCB4,37.84196472167969,-22.407127380371094,114
43,ABCB5,38.20877456665039,-22.46489906311035,114
44,ABCB6,33.22407913208008,-18.864912033081055,130
45,ABCB8,33.870182037353516,-18.30769157409668,130
46,ABCB9,32.957916259765625,-19.15184211730957,130
47,ABCC1,37.87506103515625,-22.546842575073242,114
48,ABCC10,35.497982025146484,-20.018178939819336,115
49,ABCC11,37.937477111816406,-22.581134796142578,114
50,ABCC12,37.90983200073242,-22.343050003051758,114
51,ABCC2,38.41950988769531,-22.62410545349121,114
52,ABCC3,37.96577453613281,-22.487483978271484,114
53,ABCC4,37.452823638916016,-22.65386962890625,114
54,ABCC5,37.69150924682617,-22.549713134765625,114
55,ABCC6,38.052001953125,-22.423828125,114
56,ABCC8,36.88728332519531,-22.243745803833008,114
57,ABCC9,38.241050720214844,-22.421201705932617,114
58,ABCD2,36.772987365722656,-20.84966468811035,115
59,ABCD3,35.600276947021484,-20.388620376586914,115
60,ABCD4,30.763700485229492,-20.152610778808594,131
61,ABCE1,40.231563568115234,5.5376505851745605,432
62,ABCF1,35.17471694946289,11.6399564743042,369
63,ABCF2,39.767921447753906,5.191408634185791,432
64,ABCF3,40.7639274597168,4.837517738342285,432
65,ABCG1,30.209558486938477,-22.694414138793945,131
66,ABCG2,30.882404327392578,-22.39227867126465,131
67,ABCG4,31.25834083557129,-21.983566284179688,131
68,ABCG5,31.009300231933594,-22.042646408081055,131
69,ABCG8,33.12584686279297,-21.907258987426758,117
70,ABHD1,57.045379638671875,0.24393439292907715,288
71,ABHD10,57.22763442993164,9.453828811645508,327
72,ABHD11,57.78297805786133,5.6951093673706055,349
73,ABHD12,54.50462341308594,2.4057090282440186,292
74,ABHD12B,53.946197509765625,3.202852964401245,302
75,ABHD13,50.809146881103516,0.72843337059021,296
76,ABHD14A,66.23552703857422,-3.665414810180664,212
77,ABHD14B,54.171627044677734,6.5114898681640625,453
78,ABHD15,50.63117599487305,0.42429688572883606,296
79,ABHD16A,53.98094177246094,0.7229240536689758,270
80,ABHD16B,57.00558090209961,-0.9510871767997742,291
81,ABHD17A,28.084592819213867,5.873790740966797,394
82,ABHD17B,47.70341110229492,1.0608042478561401,423
83,ABHD17C,27.233118057250977,5.993875503540039,394
84,ABHD18,47.678836822509766,1.1368166208267212,423
85,ABHD2,57.76998519897461,0.050519075244665146,288
86,ABHD3,53.39228057861328,1.020208477973938,270
87,ABHD4,53.98041534423828,1.199637770652771,291
88,ABHD5,54.52300262451172,0.6140893697738647,291
89,ABHD6,55.836326599121094,0.761605441570282,291
90,ABHD8,20.847475051879883,5.495543003082275,373
91,ABI1,-1.7158747911453247,4.229389190673828,299
92,ABI2,-3.3331797122955322,4.786367416381836,299
93,ABI3,-0.24621397256851196,3.5508944988250732,399
94,ABI3BP,63.411380767822266,-13.251132011413574,202
95,ABITRAM,44.052894592285156,8.689906120300293,436
96,ABL1,2.6211917400360107,3.2280023097991943,407
97,ABL2,3.519416093826294,3.1439931392669678,407
98,ABLIM1,3.2747738361358643,0.5927215218544006,389
99,ABLIM2,5.289601802825928,0.757899284362793,389
100,ABLIM3,4.782575607299805,0.8952957391738892,389
101,ABO,74.52288818359375,-4.54406213760376,205
102,ABR,12.712961196899414,-1.1550687551498413,375
103,ABRA,10.961084365844727,12.870594024658203,330
104,ABRACL,45.584896087646484,14.783071517944336,321
105,ABRAXAS1,21.66088104248047,8.204708099365234,398
106,ABRAXAS2,23.08860969543457,7.4341607093811035,397
107,ABT1,42.52143859863281,10.899744033813477,347
108,ABTB1,35.85746765136719,2.4806859493255615,438
109,ABTB2,19.015897750854492,-0.4870927333831787,376
110,ACAA1,67.08368682861328,5.63374662399292,356
111,ACAA2,68.63976287841797,6.04263162612915,356
112,ACACA,14.227800369262695,-7.314825534820557,277
113,ACACB,65.48969268798828,3.201714277267456,358
114,ACAD10,59.058536529541016,3.5056424140930176,349
115,ACAD11,59.140228271484375,3.22941517829895,349
116,ACAD8,68.07439422607422,5.7563910484313965,356
117,ACAD9,68.41092681884766,5.60482931137085,356
118,ACADL,68.39013671875,5.8049116134643555,356
119,ACADM,70.46688842773438,6.558004856109619,356
120,ACADS,68.12096405029297,5.919142246246338,356
121,ACADSB,69.69575500488281,5.879333019256592,356
122,ACADVL,68.9825210571289,5.863382339477539,356
123,ACAN,61.20596694946289,-13.63158130645752,197
124,ACAP1,13.031135559082031,-0.11607945710420609,415
125,ACAP2,14.165369033813477,-0.22473125159740448,415
126,ACAP3,13.092697143554688,0.3561978042125702,415
127,ACAT1,68.61703491210938,6.373443603515625,356
128,ACAT2,66.6329574584961,6.083099842071533,356
129,ACBD3,28.78268814086914,12.876055717468262,442
130,ACBD4,15.600865364074707,12.456305503845215,341
131,ACBD5,21.29646110534668,4.590099334716797,373
132,ACBD6,33.401771545410156,12.375208854675293,445
133,ACBD7,42.970951080322266,13.282878875732422,347
134,ACCS,57.321250915527344,2.1592354774475098,292
135,ACCSL,62.87806701660156,3.0104615688323975,358
136,ACD,16.235855102539062,14.195443153381348,339
137,ACE,61.9347038269043,-4.350059986114502,212
138,ACER1,11.938796043395996,-24.332368850708008,157
139,ACER2,12.459078788757324,-24.253368377685547,157
140,ACER3,12.714940071105957,-24.16710090637207,157
141,ACHE,64.07073211669922,-3.7015113830566406,212
142,ACIN1,-17.990001678466797,4.885682582855225,165
143,ACKR1,-108.23477172851562,-19.249910354614258,14
144,ACKR2,-109.98770141601562,-18.814287185668945,14
145,ACKR3,-107.27727508544922,-18.742759704589844,14
146,ACKR4,-110.42022705078125,-18.57356834411621,14
