hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
2,No significant GO enrichment,PCDHGA1 PCDHGA10 PCDHGA11 PCDHGA12 PCDHGA2 PCDHGA3 PCDHGA4 PCDHGA5 PCDHGA6 PCDHGA7 PCDHGA8 PCDHGA9 PCDHGB1 PCDHGB2 PCDHGB3 PCDHGB4 PCDHGB5 PCDHGB6 PCDHGB7,
3,No significant GO enrichment,OR51A2 OR51A4 OR51A7 OR51B2 OR51B4 OR51B5 OR51B6 OR51D1 OR51E1 OR51E2 OR51F1 OR51F2 OR51G1 OR51G2 OR51I1 OR51I2 OR51L1 OR51M1 OR51Q1 OR51S1 OR51T1 OR51V1 OR52A1 OR52A5 OR52B2 OR52B4 OR52B6 OR52D1 OR52E2 OR52E4 OR52E5 OR52E6 OR52E8 OR52H1 OR52I1 OR52I2 OR52J3 OR52K1 OR52K2 OR52L1 OR52M1 OR52N1 OR52N2 OR52N4 OR52N5 OR52R1 OR52W1 OR56A1 OR56A3 OR56A4 OR56A5 OR56B1 OR56B4,
6,No significant GO enrichment,SCYGR1 SCYGR2 SCYGR3 SCYGR4 SCYGR5 SCYGR6 SCYGR7 SCYGR8,
7,No significant GO enrichment,IGHD1-1 IGHJ1 IGKJ1 TRAJ3 TRAJ31 TRAJ42 TRBD1 TRBJ1-1 TRBJ1-2 TRBJ1-3 TRBJ1-4 TRBJ1-5 TRBJ1-6 TRBJ2-1 TRBJ2-2 TRBJ2-3 TRBJ2-4 TRBJ2-5 TRBJ2-6 TRBJ2-7 TRDD1 TRDJ1 TRGJ1,
9,No significant GO enrichment,TBC1D26 TBC1D28 TBC1D3 TBC1D3B TBC1D3C TBC1D3D TBC1D3E TBC1D3F TBC1D3G TBC1D3H TBC1D3I TBC1D3K TBC1D3L,
12,No significant GO enrichment,OR1D2 OR1D5 OR1E1 OR1E2 OR1G1 OR1I1 OR1J2 OR1J4 OR1N1 OR1N2 OR1S1 OR1S2 OR5P3 OR7A10 OR7A17 OR7A5 OR7C1 OR7C2 OR7D2 OR7D4 OR7E24 OR7G1 OR7G2 OR7G3,
16,No significant GO enrichment,KRTAP17-1 KRTAP23-1 KRTAP5-1 KRTAP5-10 KRTAP5-11 KRTAP5-2 KRTAP5-3 KRTAP5-4 KRTAP5-5 KRTAP5-6 KRTAP5-7 KRTAP5-8 KRTAP5-9,
17,No significant GO enrichment,KRTAP19-1 KRTAP19-2 KRTAP19-3 KRTAP19-4 KRTAP19-5 KRTAP19-6 KRTAP19-7 KRTAP19-8 KRTAP20-1 KRTAP20-2 KRTAP20-3 KRTAP21-1 KRTAP21-2 KRTAP21-3 KRTAP22-1 KRTAP22-2 KRTAP6-1 KRTAP6-2 KRTAP6-3 KRTAP7-1 KRTAP8-1,
21,No significant GO enrichment,ZFP62 ZNF160 ZNF195 ZNF267 ZNF28 ZNF320 ZNF347 ZNF415 ZNF468 ZNF480 ZNF528 ZNF534 ZNF578 ZNF600 ZNF610 ZNF611 ZNF616 ZNF665 ZNF677 ZNF701 ZNF761 ZNF765 ZNF808 ZNF813 ZNF816 ZNF83 ZNF836 ZNF841 ZNF845 ZNF860 ZNF880 ZNF888,
24,No significant GO enrichment,NPIPA1 NPIPA2 NPIPA3 NPIPA5 NPIPA7 NPIPA8 NPIPB11 NPIPB12 NPIPB13 NPIPB15 NPIPB2 NPIPB3 NPIPB4 NPIPB5 NPIPB6 NPIPB7 NPIPB8 NPIPB9,
26,No significant GO enrichment,ZNF100 ZNF107 ZNF117 ZNF138 ZNF208 ZNF253 ZNF254 ZNF257 ZNF273 ZNF429 ZNF43 ZNF430 ZNF479 ZNF486 ZNF492 ZNF493 ZNF506 ZNF519 ZNF525 ZNF595 ZNF626 ZNF66 ZNF675 ZNF676 ZNF678 ZNF679 ZNF680 ZNF681 ZNF682 ZNF695 ZNF708 ZNF714 ZNF716 ZNF718 ZNF721 ZNF723 ZNF724 ZNF726 ZNF727 ZNF728 ZNF729 ZNF730 ZNF732 ZNF735 ZNF736 ZNF737 ZNF738 ZNF85 ZNF90 ZNF91 ZNF92 ZNF93 ZNF98 ZNF99,
31,No significant GO enrichment,GLI4 MZF1 PEG3 PGBD1 POGK REPIN1 SCAND1 ZFP41 ZFP57 ZIM2 ZKSCAN1 ZKSCAN2 ZKSCAN3 ZKSCAN4 ZKSCAN5 ZKSCAN8 ZNF165 ZNF174 ZNF18 ZNF200 ZNF202 ZNF205 ZNF212 ZNF213 ZNF215 ZNF232 ZNF24 ZNF263 ZNF274 ZNF282 ZNF324 ZNF324B ZNF394 ZNF396 ZNF397 ZNF398 ZNF444 ZNF446 ZNF467 ZNF48 ZNF496 ZNF497 ZNF500 ZNF517 ZNF597 ZNF629 ZNF639 ZNF641 ZNF648 ZNF672 ZNF688 ZNF689 ZNF691 ZNF696 ZNF697 ZNF707 ZNF746 ZNF747 ZNF75A ZNF764 ZNF768 ZNF771 ZNF775 ZNF777 ZNF783 ZNF785 ZNF835 ZNF837 ZNF843 ZSCAN1 ZSCAN10 ZSCAN12 ZSCAN16 ZSCAN18 ZSCAN20 ZSCAN21 ZSCAN22 ZSCAN23 ZSCAN25 ZSCAN26 ZSCAN29 ZSCAN30 ZSCAN31 ZSCAN32 ZSCAN4 ZSCAN5A ZSCAN5B ZSCAN5C ZSCAN9,
32,No significant GO enrichment,IGHV3-11 IGHV3-13 IGHV3-15 IGHV3-16 IGHV3-20 IGHV3-21 IGHV3-23 IGHV3-30 IGHV3-33 IGHV3-35 IGHV3-38 IGHV3-43 IGHV3-48 IGHV3-49 IGHV3-53 IGHV3-64 IGHV3-64D IGHV3-66 IGHV3-7 IGHV3-72 IGHV3-73 IGHV3-74,
33,No significant GO enrichment,IGHV1-18 IGHV1-2 IGHV1-24 IGHV1-3 IGHV1-45 IGHV1-46 IGHV1-58 IGHV1-69 IGHV1-69-2 IGHV1-69D IGHV2-26 IGHV2-5 IGHV2-70 IGHV2-70D IGHV4-28 IGHV4-31 IGHV4-34 IGHV4-39 IGHV4-4 IGHV4-59 IGHV4-61 IGHV5-10-1 IGHV5-51 IGHV6-1 IGHV7-4-1 IGHV7-81,
40,No significant GO enrichment,IGKV1-12 IGKV1-16 IGKV1-17 IGKV1-27 IGKV1-33 IGKV1-37 IGKV1-39 IGKV1-5 IGKV1-6 IGKV1-8 IGKV1-9 IGKV1D-12 IGKV1D-13 IGKV1D-16 IGKV1D-17 IGKV1D-33 IGKV1D-37 IGKV1D-39 IGKV1D-8 IGKV2-30 IGKV3-11 IGKV3-15 IGKV3-20 IGKV3-7 IGKV3D-11 IGKV3D-20 IGKV3D-7,
47,No significant GO enrichment,KRBOX1 PRDM9 ZNF112 ZNF133 ZNF155 ZNF169 ZNF214 ZNF221 ZNF222 ZNF223 ZNF224 ZNF225 ZNF226 ZNF227 ZNF229 ZNF230 ZNF233 ZNF234 ZNF235 ZNF284 ZNF337 ZNF343 ZNF425 ZNF45 ZNF589 ZNF766 ZNF786 ZNF875,
54,No significant GO enrichment,FAM205A SPATA31A1 SPATA31A3 SPATA31A5 SPATA31A6 SPATA31A7 SPATA31D1 SPATA31D3 SPATA31D4 SPATA31E1,
56,No significant GO enrichment,ZNF101 ZNF121 ZNF124 ZNF136 ZNF14 ZNF177 ZNF20 ZNF266 ZNF426 ZNF433 ZNF439 ZNF44 ZNF440 ZNF441 ZNF442 ZNF443 ZNF490 ZNF491 ZNF555 ZNF556 ZNF559 ZNF560 ZNF563 ZNF564 ZNF57 ZNF625 ZNF627 ZNF669 ZNF670 ZNF69 ZNF699 ZNF700 ZNF709 ZNF763 ZNF77 ZNF778 ZNF791 ZNF799 ZNF823 ZNF844 ZNF846 ZNF878,
57,No significant GO enrichment,RBAK ZFP1 ZFP14 ZFP2 ZFP28 ZFP3 ZFP30 ZFP37 ZFP69 ZFP69B ZFP82 ZFP90 ZIK1 ZIM3 ZKSCAN7 ZNF10 ZNF114 ZNF12 ZNF132 ZNF134 ZNF135 ZNF140 ZNF146 ZNF154 ZNF16 ZNF17 ZNF175 ZNF180 ZNF181 ZNF184 ZNF189 ZNF19 ZNF197 ZNF2 ZNF211 ZNF22 ZNF23 ZNF239 ZNF248 ZNF25 ZNF250 ZNF251 ZNF256 ZNF260 ZNF264 ZNF283 ZNF285 ZNF286A ZNF287 ZNF3 ZNF30 ZNF300 ZNF302 ZNF304 ZNF311 ZNF317 ZNF32 ZNF322 ZNF329 ZNF331 ZNF333 ZNF334 ZNF33A ZNF33B ZNF34 ZNF345 ZNF35 ZNF350 ZNF354A ZNF354B ZNF354C ZNF37A ZNF382 ZNF383 ZNF391 ZNF404 ZNF416 ZNF417 ZNF418 ZNF419 ZNF420 ZNF432 ZNF436 ZNF454 ZNF460 ZNF461 ZNF470 ZNF471 ZNF473 ZNF484 ZNF485 ZNF487 ZNF501 ZNF502 ZNF510 ZNF514 ZNF527 ZNF529 ZNF530 ZNF540 ZNF543 ZNF544 ZNF546 ZNF547 ZNF548 ZNF549 ZNF550 ZNF551 ZNF552 ZNF554 ZNF557 ZNF558 ZNF561 ZNF565 ZNF566 ZNF567 ZNF568 ZNF569 ZNF570 ZNF571 ZNF572 ZNF573 ZNF577 ZNF582 ZNF583 ZNF584 ZNF585A ZNF585B ZNF586 ZNF587 ZNF587B ZNF594 ZNF596 ZNF599 ZNF605 ZNF606 ZNF607 ZNF613 ZNF614 ZNF615 ZNF619 ZNF620 ZNF621 ZNF623 ZNF624 ZNF649 ZNF655 ZNF658 ZNF660 ZNF662 ZNF664 ZNF667 ZNF671 ZNF684 ZNF7 ZNF70 ZNF705A ZNF705B ZNF705D ZNF705G ZNF71 ZNF713 ZNF717 ZNF74 ZNF749 ZNF772 ZNF773 ZNF774 ZNF776 ZNF780A ZNF780B ZNF782 ZNF789 ZNF79 ZNF790 ZNF792 ZNF793 ZNF8 ZNF80 ZNF805 ZNF814 ZNF829 ZNF84 ZNF850 ZNF852 ZNF879 ZSCAN2,
59,No significant GO enrichment,OR14A16 OR14C36 OR2J3 OR4A15 OR4A16 OR4A47 OR4A5 OR4B1 OR4C11 OR4C12 OR4C13 OR4C15 OR4C16 OR4C3 OR4C45 OR4C46 OR4C5 OR4C6 OR4D1 OR4D10 OR4D11 OR4D2 OR4D5 OR4D6 OR4D9 OR4E1 OR4E2 OR4F15 OR4F16 OR4F17 OR4F21 OR4F29 OR4F3 OR4F4 OR4F5 OR4F6 OR4K1 OR4K13 OR4K14 OR4K17 OR4K2 OR4K5 OR4L1 OR4M1 OR4M2 OR4N2 OR4N4 OR4N5 OR4P4 OR4Q2 OR4Q3 OR4S1 OR4S2 OR4X1 OR4X2 OR5AS1 OR5H1 OR5H15,
60,No significant GO enrichment,IGKV2-28 IGKV2-40 IGKV2D-26 IGKV2D-40 IGKV4-1 IGKV6-21 IGKV6D-41 IGLV1-36 IGLV1-40 IGLV1-44 IGLV1-47 IGLV1-50 IGLV1-51 IGLV10-54 IGLV11-55 IGLV2-11 IGLV2-14 IGLV2-18 IGLV2-23 IGLV2-33 IGLV2-8 IGLV3-1 IGLV3-10 IGLV3-12 IGLV3-16 IGLV3-19 IGLV3-21 IGLV3-22 IGLV3-25 IGLV3-27 IGLV3-32 IGLV3-9 IGLV4-3 IGLV4-60 IGLV4-69 IGLV5-37 IGLV5-45 IGLV5-48 IGLV5-52 IGLV6-57 IGLV7-43 IGLV7-46 IGLV8-61 IGLV9-49 VPREB3,
61,No significant GO enrichment,IGKV1D-42 IGKV1D-43 IGKV2-24 IGKV2D-24 IGKV2D-28 IGKV2D-29 IGKV2D-30 IGKV3D-15 IGKV5-2 IGKV6D-21 VPREB1,
62,No significant GO enrichment,SPDYE1 SPDYE16 SPDYE17 SPDYE2 SPDYE2B SPDYE3 SPDYE4 SPDYE5 SPDYE6,
75,No significant GO enrichment,ACTL10 ACTL7A ACTL7B ACTL8 ACTL9 ACTRT2 ACTRT3 EEF1A1 GAPDH,
85,No significant GO enrichment,ANP32D FBXL14 FBXL18 FBXL2 FBXO39 LRR1 LRRC1 LRRC10 LRRC10B LRRC18 LRRC2 LRRC20 LRRC23 LRRC28 LRRC30 LRRC39 LRRC40 LRRC57 LRRC59 LRRC69 LRRD1 LRRIQ4 PPP1R7 RNH1 RSU1 SHOC2,
100,No significant GO enrichment,OR13J1 OR14A2 OR14J1 OR1A1 OR1A2 OR1F1 OR1J1 OR1L4 OR1L8 OR1M1 OR1Q1 OR2L2 OR2L3 OR2L5 OR2M3 OR5A1 OR5AC2 OR5AK2 OR5AN1 OR5AP2 OR5AR1 OR5AU1 OR5B12 OR5B17 OR5B21 OR5B3 OR5D13 OR5D14 OR5D16 OR5D18 OR5F1 OR5H14 OR5H2 OR5H6 OR5I1 OR5J2 OR5K1 OR5K2 OR5K3 OR5K4 OR5L1 OR5M10 OR5M11 OR5M3 OR5T1 OR5T2 OR5T3 OR5V1 OR5W2 OR6C4 OR6K3 OR8A1 OR8B12 OR8B2 OR8B3 OR8B4 OR8B8 OR8D1 OR8D2 OR8D4 OR8G1 OR8G5 OR8H2 OR8H3 OR8I2 OR8J3 OR8K1 OR8K3 OR8K5 OR8U1 OR9G1 OR9K2,
101,No significant GO enrichment,OR10A2 OR10A3 OR10A4 OR10A5 OR10A6 OR10A7 OR10AD1 OR10AG1 OR10C1 OR10D3 OR10G2 OR10G3 OR10G4 OR10G6 OR10G7 OR10G8 OR10G9 OR10H1 OR10H2 OR10H3 OR10H4 OR10H5 OR10J1 OR10J3 OR10J5 OR10K1 OR10K2 OR10P1 OR10Q1 OR10R2 OR10S1 OR10T2 OR10V1 OR10W1 OR10X1 OR10Z1 OR11A1 OR11G2 OR11H1 OR11H12 OR11H2 OR11H4 OR11H6 OR11L1 OR12D2 OR12D3 OR13A1 OR13C2 OR13C3 OR13C4 OR13C5 OR13C8 OR13C9 OR13D1 OR13F1 OR13G1 OR14I1 OR14K1 OR1B1 OR1C1 OR1K1 OR1L1 OR1L3 OR1L6 OR2A1 OR2A12 OR2A14 OR2A2 OR2A25 OR2A4 OR2A42 OR2A5 OR2A7 OR2AE1 OR2AG1 OR2AG2 OR2AJ1 OR2AK2 OR2AP1 OR2AT4 OR2B11 OR2B2 OR2B3 OR2B6 OR2C1 OR2C3 OR2D2 OR2D3 OR2F1 OR2F2 OR2G2 OR2G3 OR2G6 OR2H1 OR2H2 OR2I1P OR2J1 OR2J2 OR2K2 OR2L13 OR2L8 OR2M2 OR2M4 OR2M5 OR2M7 OR2S2 OR2T1 OR2T10 OR2T11 OR2T12 OR2T2 OR2T27 OR2T29 OR2T3 OR2T33 OR2T34 OR2T35 OR2T4 OR2T5 OR2T6 OR2T8 OR2V1 OR2V2 OR2W1 OR2W3 OR2Y1 OR2Z1 OR3A1 OR3A2 OR3A3 OR4K15 OR5A2 OR5B2 OR5C1 OR5L2 OR5M1 OR5M8 OR5M9 OR5P2 OR6A2 OR6B1 OR6B2 OR6B3 OR6C1 OR6C2 OR6C3 OR6C6 OR6C65 OR6C68 OR6C70 OR6C74 OR6C75 OR6C76 OR6F1 OR6J1 OR6K2 OR6K6 OR6M1 OR6N1 OR6N2 OR6P1 OR6Q1 OR6S1 OR6T1 OR6V1 OR6X1 OR6Y1 OR8H1 OR8J1 OR8S1 OR9A2 OR9A4 OR9G4 OR9I1 OR9Q1 OR9Q2,
103,No significant GO enrichment,MS4A1 MS4A12 MS4A13 MS4A15 MS4A18 MS4A2 MS4A3 MS4A4A MS4A4E MS4A5 MS4A6A MS4A6E MS4A7 MS4A8 PRPH2 TMEM176A TMEM176B TMEM255B,
116,No significant GO enrichment,ADGRD1 ADGRD2 ADGRE1 ADGRE2 ADGRE3 ADGRE5 ADGRF1 ADGRF3 ADGRF4 ADGRF5 ADGRG1 ADGRG3 ADGRG5 ADGRG6 ADGRG7 ADGRL4 DISP1 DISP3 NPC1L1 PTCH1 PTCH2 SCAP,
122,No significant GO enrichment,CELA2A CELA2B CELA3A CELA3B CTRB1 CTRB2 CTRC CTRL KLK1 PRSS1 PRSS2 PRSS3,
125,No significant GO enrichment,PRB1 PRB2 PRB3 PRB4 PRH1 PRH2 PRR4 SMR3A SMR3B,
140,No significant GO enrichment,BFAR BRI3BP DNAJC22 GPAA1 MTFP1 NDC1 NEMP2 NINJ1 PANX3 RHBDD3 RNF121 RNF175 RNF26 RNFT1 RNFT2 SEC22C TMEM109 TMEM115 TMEM184C TMEM236 TMEM270 TMEM64 TVP23C,
145,No significant GO enrichment,ARID5A C1orf94 DERPC FAM181A MAX MEX3A MEX3B MEX3D MXD1 MXI1 NFIL3 SERTAD2 SPATC1 ZNF488,
153,No significant GO enrichment,C20orf141 GPR137 NDFIP2 PLPPR2 PLPPR5 SFT2D3 STARD3 TMEM121 TMEM184B TMEM192 TMEM198 TMEM239 TMEM39A TMEM39B TMEM88B ZDHHC24,
173,No significant GO enrichment,ATP5F1E C19orf53 EDF1 GNG10 GNG5 NACA2 RBIS RPL39L SEC61B SERF2 SERP1 SUMO4 TMA7 TMSB10 TRIQK ZNF706,
176,No significant GO enrichment,BTN1A1 BTN2A1 BTN2A2 BTN3A1 BTN3A2 BTN3A3 BTNL3 BTNL8 BTNL9 ERMAP MOG,
196,No significant GO enrichment,AAMDC C15orf40 C15orf61 CIAO2A CISD3 COA8 DDT DNAJC30 DNLZ GATC GLRX5 GPX4 HINT1 MRPS34 NGRN NME4 NOP16 PTRHD1 SOD1 TSTD1,
227,No significant GO enrichment,AGER BCAM C17orf99 CD5 CDCP1 CEACAM16 CEACAM20 ICAM1 ICAM2 ICAM3 ICAM5 IGSF3 IGSF8 IL11RA KIRREL2 MAG MCAM MXRA8 NPHS1 PIGR PTGFRN PTPRC SIGLEC1 VSIG10 VSIG10L VSIG10L2,
234,No significant GO enrichment,DMRT2 DMRTB1 EHF ELF3 ELF5 ERFL ETS1 ETS2 ETV1 ETV5 ETV6 ETV7 FOXN4 FOXO6 MEF2B PRR35 SPDEF SPI1 SPIB SPIC,
238,No significant GO enrichment,ATOH7 BHLHA9 CDC42EP5 HES2 HES3 HES6 HES7 MAFF MAFG MAFK MESP1 MESP2 NRL TPRX1 UTF1,
251,No significant GO enrichment,AXDND1 C10orf67 CCDC148 CCDC157 CCDC177 CCDC27 CCDC73 CCDC81 CFAP43 DNAI2 DNALI1 DYDC1 DZIP1L EVC2 FAM186B INCENP TEX9 TSKS,
258,No significant GO enrichment,CCDC102B CCDC136 CCDC152 CCDC192 CCDC57 CCDC89 CCDC91 CCHCR1 CEP162 CGNL1 CNTROB FAM184B FBF1 FYCO1 GOLGA3 GOLGA5 LRRC45 MAD1L1 MIPOL1 PLVAP RABEP1 RB1CC1 TMF1,
274,No significant GO enrichment,C22orf42 C4orf51 CGREF1 CHGB DMP1 DRICH1 FAM153A HRC SLC24A1 SPARCL1,
278,No significant GO enrichment,ANAPC1 ANK1 ATG2A ATR BTAF1 CABIN1 CAD CLTC CLTCL1 CTNNA1 CTNNA2 CTNNA3 CUL7 CUL9 DDX60L DNAJC13 DOCK6 DOP1B ECPAS ESPL1 FANCD2 FANCI FOCAD GCN1 GREB1 GREB1L GTF3C1 HEATR1 HEATR5A HEATR5B HELZ2 INTS1 INTS2 ITPR3 KIAA0100 KNTC1 LRRK2 LTN1 MCM3AP MROH1 MROH2A MROH2B MROH5 MROH7 MTOR MYO15B MYO7A NBAS NBEAL2 NCAPD2 NCAPD3 NUP188 NUP205 NWD1 PCNX3 PDS5A POLE PSME4 RTTN SBF1 SPG11 TARBP1 TEP1 THADA TRANK1 TUBGCP6 UGGT1 URB1 UTP20 VCL WDFY4 WDR81 ZFYVE26 ZZEF1,
281,No significant GO enrichment,C2orf78 C9orf131 CCDC71 CDCA4 CHAMP1 CSNKA2IP FAM186A GFY GPRIN1 IER2 IQCC IQCN KMT5C MAGEL2 NES NPAP1 PERM1 PLIN4 POM121L2 PRAM1 PRR30 PRR36 SERTAD1 SERTAD3 SPEM2 SPEM3 WDR87,
285,No significant GO enrichment,CAPN10 CAPN5 CARNS1 CASP10 EFCAB14 EIF2AK2 GHDC ITPRIP ITPRIPL1 ITPRIPL2 MAB21L3 MAB21L4 MB21D2 MIEF2 MLKL MOV10 MSLNL MTMR11 NKPD1 NLRP10 NOS1 NOS3 OAS1 OTOR PLD2 RABGGTA RBM43 RNF31 THEMIS TOR1AIP2 UBA7 UBASH3A UBASH3B URGCP,
289,No significant GO enrichment,APOBR ARHGAP30 ARHGEF35 BTBD18 CDKN1C EHBP1L1 ELOA2 GOLIM4 IER5 MAP10 MAP6 MDC1 NACAD PALM3 PPP1R15A PPP1R18 PROX2 PRR33 PRX RSC1A1 SH3D21 TOGARAM2,
290,No significant GO enrichment,ARPP19 BRD3OS C19orf81 C1orf115 C6orf226 CCDC197 CTNNBIP1 DLEU7 EID1 ENSA FAM177B GON7 HDGF HP1BP3 LKAAEAR1 MBD3 MCRIP2 MEA1 MEIG1 MOSPD3 MRFAP1L1 NAP1L5 NAT14 PPP1R11 RD3L REX1BD SWI5 SYCE3 TRIR TUSC2,
299,No significant GO enrichment,ABI1 ABI2 AKAP11 CBLB CCDC15 CCSER2 CEP126 CEP170 CEP295 DAB2 DVL1 EXPH5 ICE1 KDM3B KIAA0232 KIAA0586 KIAA1328 KIF26A LATS2 MAP1A MAP1B MTFR2 MTUS1 MTUS2 NCKAP5 NHSL1 NYAP2 PDZD2 PPP1R12A PRR14L PRR16 PTPN23 RBM20 RESF1 REV3L RP1 SGIP1 SH3RF1 SHROOM3 SLAIN2 SPHKAP STOX2 TACC2 TASOR2 TDRD15 TDRD6 TP53BP1 TRIOBP TULP4 USP54 ZDBF2 ZFC3H1 ZNF106,
301,No significant GO enrichment,ARFIP1 ASPSCR1 BTBD9 C12orf56 CCAR2 CDC14B CNN3 CPEB1 CYTH2 ECT2L EFCAB7 EXOC8 FAM172A GCFC2 INTS6 ITPKA KAT2A LCP1 MIGA2 PLS1 PTPN2 SEC14L3 SEC14L4 SEC14L6 SLF1 SMARCA5 SNX17 STXBP6 SYN3 TLDC2 USP40,
303,No significant GO enrichment,BBS2 BBS7 BRAT1 BZW2 CTC1 CUL4A DNAAF5 GET4 HERC3 HERC5 HERC6 ORC4 RMC1 RPAP1,
308,No significant GO enrichment,ANKZF1 ARFIP2 ARHGEF39 ASH2L CCNY CCNYL1 CHUK CLVS1 CNN1 CNN2 DDX20 DENND11 ENO4 FBXL7 GLYR1 GTF3C4 INPP5A ITPK1 KATNBL1 LEMD2 MCRS1 MED17 MIGA1 MON1A MTBP NEPRO NEURL1 PARVA PARVB PARVG PCIF1 PIP4K2C PMS2 PPM1B RFX8 RNGTT SESTD1 SMG8 SUN1 SUPT3H TAGLN TAGLN2 TAGLN3 TBC1D21 TBC1D22B TBK1 TPPP TPPP2 TPPP3 UBE3A USP12 VCPIP1 VPS9D1,
320,No significant GO enrichment,AJM1 AKAP3 AKNA AMER3 ATXN7L2 BAHD1 BRD2 BRD3 C15orf39 C17orf80 C1orf127 C1orf167 C2orf81 C4orf54 C6orf132 CAST CBX2 CBX4 CCDC116 CCDC187 CCDC9 CCDC9B CEP295NL CREBRF CSRNP1 DACT1 DACT2 DDN E2F1 E2F2 E2F3 E2F4 ERICH3 FBXO46 FIGNL2 FOXN2 GAS2L2 GGN GOLM1 GPR179 HBP1 HOMEZ IRS2 IST1 JCAD KIAA1522 KIAA1614 KRBA1 LAD1 LRRC53 MAP4 MAPT MED26 MIDN MISP MLIP MLLT3 MYB NAB1 NCKAP5L NELFE NPAS4 NUTM1 NUTM2A NUTM2B NUTM2D NUTM2E NUTM2F NUTM2G NYAP1 PCARE PPP1R26 PROB1 PROSER3 PROX1 PRR14 PRR22 PRRT3 PWWP2B RBBP8NL RBM15B RCOR2 RFX5 RP1L1 SHROOM1 SKI SKIL SLC38A10 SMARCD3 SNAPC4 SNRNP35 SPATA21 SYNM SYNPO SYNPO2 SYNPO2L TAF6 TCERG1L TFDP1 TFDP2 TNKS1BP1 TROAP TSGA10IP USHBP1 XIRP1 YY1AP1 ZC3H11A ZC3H11B ZC3H3 ZNF512B ZNF831,
323,No significant GO enrichment,AVPI1 BLID C11orf52 C20orf173 C2orf15 C3orf62 C5orf63 C7orf61 C9orf153 CCDC163 CCDC179 CCDC54 CCDC70 DAOA DAPL1 DKKL1 DPEP2NB FAM209B FAM237A FAM240C FANCD2OS GVQW3 HILPDA HMHB1 HMSD HRCT1 KNCN LNP1 MCCD1 PBOV1 PMAIP1 PRRT2 PXT1 REELD1 RESP18 SAPCD1 SMIM23 SPATA19 SPATA45 SPATA9 TEX48 TEX49 TEX53 TMEM250 TMEM89 TP53TG5,
324,No significant GO enrichment,ARIH2OS ARMS2 C10orf143 C10orf55 C11orf21 C11orf71 C12orf76 C14orf178 C16orf95 C19orf73 C20orf203 C3orf22 C5orf38 C5orf67 C6orf223 C7orf33 C7orf77 C8orf86 C9orf92 CCDC140 CEMP1 CT62 CYSTM1 DCANP1 FAM120AOS FAM218A FAM220A FAM229B FBXL22 FOXL2NB HEPN1 IQCF1 IQCF2 IQCF3 IQCF5 IQCF6 KAAG1 KLLN MYEOV NREP PANO1 POMZP3 PRAC1 PRAC2 PRR13 PSORS1C1 SMIM21 SPATA12 SPATA3 SRARP STH TEX22 TNP2 TP53AIP1 TP53TG3 TP53TG3B TP53TG3C TP53TG3D TP53TG3E TP53TG3F,
329,No significant GO enrichment,C12orf42 C13orf46 C16orf46 C16orf82 C22orf31 C2orf92 C3orf56 C5orf52 C6orf52 C9orf152 CCDC74A CCDC74B CDRT15 CDRT15L2 CIART DUSP15 IER3 MAVS MOBP PMIS2 POM121L12 PPP1R17 PRR20A PRR20B PRR20C PRR20D PRR20E PRR20G PRR23D1 PRR3 RFLNA RITA1 SAP25 SMIM17 SPATA25 STRA8 TEX36,
331,No significant GO enrichment,C10orf120 C16orf78 C19orf85 C1orf141 C4orf17 C8orf48 C8orf89 CDRT4 CFAP97D1 CFAP97D2 CYLC2 FAM228A JPT2 KRTAP25-1 MGARP PRR23D2 SPATS1 STMND1 TBATA TEX33 TEX52 TSGA13,
332,No significant GO enrichment,ASTL ATP6V1FNB C1orf105 C9orf43 CABS1 CCDC198 ERICH5 FAM228B FAM47E FAM90A1 FAM90A26 FIGLA HEATR4 HEATR9 KLF17 KRTAP27-1 NEFH NEFM PIH1D2 RTP5 SOHLH1 SPATA4 TEX43 TEX44 TSBP1,
333,No significant GO enrichment,ANXA2R C6orf141 DEXI DPPA3 FNDC8 FRG2 FRG2C GAP43 IQCJ LBHD1 MYOCOS SSMEM1 TEX19 TSACC ZGLP1,
335,No significant GO enrichment,BEND5 BTG2 C11orf96 C14orf93 C1orf198 C2CD4A C2CD4B C2CD4D CBX7 CCER1 CREBZF DBF4B DDIT3 DDIT4 FAM167A FOXO3B FYTTD1 ING1 LMOD2 MAP6D1 MCL1 MSL1 PHETA2 PNRC1 PPP1R3C RNF212 SETMAR SMAD6 STBD1 TMEM121B ZC2HC1B ZNF474,
336,No significant GO enrichment,ANAPC4 ARMC5 ARMC6 ATL1 CCDC142 DHX15 FANCE FANCG INTS5 MED16 MFN1 PLCD1 RIC8A SEC23A SEC23B SPIDR,
338,No significant GO enrichment,AKAIN1 ASDURF BAALC BASP1 BIK C11orf86 C20orf144 C20orf202 C3orf80 C8orf88 CAMK2N2 CCDC32 COPRS FAM216A FLYWCH2 HRK HSPB9 NANOGNB NRIP2 NRIP3 PACRG PKIG PPP1R1C SHLD1 SPACA9 SPATA33 SPATA46 SYCE2 TBPL2 TCAP TEX54 TMEM200B,
