gene_symbol,cluster_id,x,y
BCKDHB,72,18.24352264404297,19.747447967529297
AREG,371,1.6634474992752075,17.376117706298828
FER1L6,161,22.541259765625,1.6530696153640747
GTF2H2C,320,24.18865966796875,13.1060791015625
LCN1,106,6.369468688964844,9.495159149169922
APCS,125,3.4653284549713135,11.104637145996094
RTN1,71,16.72533416748047,-3.3810503482818604
C18orf63,131,21.873605728149414,4.184090614318848
SUGP1,79,17.58559799194336,8.065217971801758
BHLHA9,33,2.5385711193084717,-3.122081995010376
HTR5A,118,-0.9892082810401917,19.332561492919922
AIF1L,4,10.966733932495117,10.823042869567871
IGHV3-74,147,-5.279711723327637,1.2442917823791504
C1RL,69,-1.6875303983688354,10.51895523071289
GTF3C4,315,7.90649938583374,-0.003759145736694336
CDCP2,238,4.550807476043701,16.288028717041016
IL12A,59,1.1308104991912842,5.68159818649292
MLANA,87,2.515777111053467,18.524795532226562
PAQR5,2,10.647496223449707,23.72833251953125
USP3,48,9.654022216796875,2.454766273498535
PPL,167,22.122848510742188,4.57435941696167
LARP7,220,17.92217254638672,5.24896240234375
ANKRD33,158,2.1030080318450928,0.3358326852321625
GOLM1,334,5.593984603881836,13.510343551635742
LDAH,140,12.130077362060547,21.580364227294922
REG3G,125,2.932032585144043,11.262666702270508
HMCES,303,22.070966720581055,18.33426284790039
OPRPN,113,4.1512131690979,7.051239013671875
SLC25A33,108,13.874818801879883,24.094650268554688
TECPR2,78,18.711519241333008,-0.13136190176010132
CEACAM4,239,-4.765597343444824,5.359338283538818
SPHKAP,163,16.93094825744629,-6.957119941711426
DEFB110,22,1.5971505641937256,8.32300853729248
IRGC,10,1.5291931629180908,4.234602451324463
ZNF382,189,7.693783760070801,-8.725642204284668
ACAA1,162,17.010435104370117,19.818023681640625
ACTR1B,289,17.05933380126953,16.428855895996094
ADA,282,15.172539710998535,18.54094696044922
ATG13,309,11.38164234161377,1.2420328855514526
CTCF,164,10.24099063873291,-7.859426021575928
ECHDC1,72,18.633026123046875,19.90003776550293
EXT1,18,7.878911018371582,19.623258590698242
TRAPPC10,96,27.270877838134766,6.764110088348389
RSL24D1,8,13.152093887329102,13.55084228515625
UBIAD1,2,10.784536361694336,24.162424087524414
