,gene_symbol,UMAP 0,UMAP 1,hdbscan_filled_cluster
0,A1BG,97.38709259033203,68.92891693115234,259
1,A1CF,69.62493133544922,29.300506591796875,276
2,A2M,123.46517944335938,-14.119006156921387,219
3,A2ML1,123.4117431640625,-14.151948928833008,219
4,A3GALT2,141.4539794921875,1.255402684211731,239
5,A4GALT,141.9125213623047,1.5294971466064453,239
6,A4GNT,141.29090881347656,0.8189069032669067,239
7,AAAS,124.86549377441406,51.41331481933594,66
8,AACS,135.16372680664062,15.122737884521484,440
9,AADAC,132.93133544921875,5.186524868011475,169
10,AADACL2,132.81112670898438,5.085782527923584,169
11,AADACL3,129.72340393066406,9.740521430969238,196
12,AADACL4,129.3858642578125,9.355612754821777,196
13,AADAT,133.50802612304688,15.984944343566895,440
14,AAGAB,110.8628921508789,17.654314041137695,405
15,AAMDC,126.59707641601562,27.99227523803711,192
16,AAMP,124.61660766601562,50.61843490600586,66
17,AANAT,119.81124877929688,22.590347290039062,465
18,AAR2,112.38290405273438,16.428205490112305,405
19,AARD,101.34455871582031,34.273658752441406,345
20,AARS2,119.4619369506836,9.185317993164062,207
21,AARSD1,123.50711822509766,19.60071563720703,416
22,AASDH,113.34638977050781,11.891677856445312,389
23,AASDHPPT,117.49656677246094,22.325424194335938,446
24,AASS,134.216552734375,16.466049194335938,440
25,AATF,112.57302856445312,32.314456939697266,401
26,AATK,86.85682678222656,15.318214416503906,367
27,ABAT,135.05368041992188,16.145549774169922,440
28,ABCA1,114.30905151367188,-27.583694458007812,123
29,ABCA10,114.1695785522461,-31.21302032470703,127
30,ABCA12,113.5654296875,-28.263919830322266,123
31,ABCA2,113.57821655273438,-26.87293815612793,123
32,ABCA3,113.99838256835938,-30.709110260009766,127
33,ABCA4,113.60163879394531,-28.63866424560547,123
34,ABCA5,113.92821502685547,-30.988964080810547,127
35,ABCA6,114.53556823730469,-30.93511962890625,127
36,ABCA7,113.3412857055664,-28.150938034057617,123
37,ABCA8,114.33798217773438,-31.132089614868164,127
38,ABCA9,114.50755310058594,-30.90595245361328,127
39,ABCB1,113.81718444824219,-30.545394897460938,127
40,ABCB10,111.27679443359375,-22.85430145263672,135
41,ABCB11,113.9595718383789,-30.110132217407227,127
42,ABCB4,113.85374450683594,-30.322364807128906,127
43,ABCB5,114.13182067871094,-30.42524528503418,127
44,ABCB6,110.35289001464844,-24.014379501342773,135
45,ABCB8,110.84270477294922,-23.022079467773438,135
46,ABCB9,110.15110778808594,-24.525346755981445,135
47,ABCC1,113.87882995605469,-30.571170806884766,127
48,ABCC10,112.07675170898438,-26.06812286376953,123
49,ABCC11,113.92615509033203,-30.632240295410156,127
50,ABCC12,113.90518951416016,-30.208255767822266,127
51,ABCC2,114.29158020019531,-30.708759307861328,127
52,ABCC3,113.94760131835938,-30.465465545654297,127
53,ABCC4,113.55873107910156,-30.76176643371582,127
54,ABCC5,113.73968505859375,-30.576282501220703,127
55,ABCC6,114.01296997070312,-30.352108001708984,127
56,ABCC8,113.12998962402344,-30.031415939331055,128
57,ABCC9,114.15629577636719,-30.347427368164062,127
58,ABCD2,113.0433349609375,-27.548831939697266,123
59,ABCD3,112.15430450439453,-26.727802276611328,123
60,ABCD4,108.48766326904297,-26.30751609802246,132
61,ABCE1,115.66531372070312,19.441768646240234,462
62,ABCF1,111.83168029785156,30.30877113342285,400
63,ABCF2,115.31381225585938,18.825180053710938,463
64,ABCF3,116.06889343261719,18.194969177246094,461
65,ABCG1,108.06755828857422,-30.833967208862305,132
66,ABCG2,108.57765197753906,-30.295923233032227,132
67,ABCG4,108.8626480102539,-29.56808853149414,132
68,ABCG5,108.6738510131836,-29.673297882080078,132
69,ABCG8,110.27841186523438,-29.432199478149414,123
70,ABHD1,128.4119873046875,10.014704704284668,196
71,ABHD10,128.55014038085938,26.415708541870117,330
72,ABHD11,128.97116088867188,19.722171783447266,450
73,ABHD12,126.4858169555664,13.864398002624512,314
74,ABHD12B,126.06246948242188,15.283954620361328,314
75,ABHD13,123.68424987792969,10.877500534057617,296
76,ABHD14A,135.37908935546875,3.052924633026123,169
77,ABHD14B,126.23336791992188,21.175983428955078,468
78,ABHD15,123.54933166503906,10.335893630981445,296
79,ABHD16A,126.08880615234375,10.867690086364746,196
80,ABHD16B,128.38180541992188,7.886606216430664,196
81,ABHD17A,106.45661163330078,20.040367126464844,395
82,ABHD17B,121.32976531982422,11.469388008117676,296
83,ABHD17C,105.81109619140625,20.254213333129883,364
84,ABHD18,121.31114196777344,11.604751586914062,296
85,ABHD2,128.9613037109375,9.670269012451172,196
86,ABHD3,125.64253997802734,11.3970947265625,196
